dataset,seed,n_samples,synthetic_data_path,metrics_path,line_count,train_size,task_type,accuracy,f1,precision,recall,auc_roc,mae,mse,rmse,r2
anxiety,44,200,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/metrics.json,201,300,classification,0.7213636363636363,0.7213636363636363,0.7213636363636363,0.7213636363636363,0.864410983329232,,,,
anxiety,44,500,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/metrics.json,501,600,classification,0.7240909090909091,0.7240909090909091,0.7240909090909091,0.7240909090909091,0.863974816788757,,,,
anxiety,45,100,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/metrics.json,101,200,classification,0.7595454545454545,0.7595454545454545,0.7595454545454545,0.7595454545454545,0.8878967778670473,,,,
anxiety,45,1000,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/metrics.json,1001,1100,classification,0.740909090909091,0.740909090909091,0.740909090909091,0.740909090909091,0.8787884227979231,,,,
anxiety,45,200,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/metrics.json,201,300,classification,0.75,0.75,0.75,0.75,0.8818861720236192,,,,
anxiety,45,500,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/metrics.json,501,600,classification,0.7418181818181818,0.7418181818181818,0.7418181818181818,0.7418181818181818,0.8790364974900579,,,,
anxiety,46,100,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/metrics.json,101,200,classification,0.7481818181818182,0.7481818181818182,0.7481818181818182,0.7481818181818182,0.8670470644603331,,,,
anxiety,46,1000,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/metrics.json,1001,1100,classification,0.7559090909090909,0.7559090909090909,0.7559090909090909,0.7559090909090909,0.8700002917482544,,,,
anxiety,46,200,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/metrics.json,201,300,classification,0.7663636363636364,0.7663636363636364,0.7663636363636364,0.7663636363636364,0.8688751184113831,,,,
anxiety,46,500,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/metrics.json,501,600,classification,0.7372727272727273,0.7372727272727273,0.7372727272727273,0.7372727272727273,0.8618981729035623,,,,
churn,42,100,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/metrics.json,101,200,classification,0.8809523809523809,0.6113989637305699,0.6276595744680851,0.5959595959595959,0.9018147577469611,,,,
churn,42,1000,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/metrics.json,1001,1100,classification,0.8793650793650793,0.6346153846153846,0.6055045871559633,0.6666666666666666,0.877494340771177,,,,
churn,42,200,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/metrics.json,201,300,classification,0.8825396825396825,0.6336633663366337,0.6213592233009708,0.6464646464646465,0.9089957960014458,,,,
churn,42,500,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/metrics.json,501,600,classification,0.8777777777777778,0.6169154228855721,0.6078431372549019,0.6262626262626263,0.8830394338868914,,,,
churn,43,100,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/metrics.json,101,200,classification,0.8650793650793651,0.5641025641025641,0.5729166666666666,0.5555555555555556,0.8187334741007057,,,,
churn,43,1000,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/metrics.json,1001,1100,classification,0.8650793650793651,0.6118721461187214,0.5583333333333333,0.6767676767676768,0.8767524586733626,,,,
churn,43,200,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/metrics.json,201,300,classification,0.8714285714285714,0.6197183098591549,0.5789473684210527,0.6666666666666666,0.8608305274971941,,,,
churn,43,500,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/metrics.json,501,600,classification,0.8666666666666667,0.6181818181818182,0.5619834710743802,0.6868686868686869,0.8766953908196846,,,,
churn,44,100,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/metrics.json,101,200,classification,0.8365079365079365,0.5422222222222223,0.48412698412698413,0.6161616161616161,0.881498601837585,,,,
churn,44,1000,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/metrics.json,1001,1100,classification,0.8317460317460318,0.5583333333333333,0.475177304964539,0.6767676767676768,0.8948810135250813,,,,
churn,44,200,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/metrics.json,201,300,classification,0.8285714285714286,0.5423728813559322,0.46715328467153283,0.6464646464646465,0.8867107991401776,,,,
churn,44,500,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/metrics.json,501,600,classification,0.8476190476190476,0.5966386554621849,0.5107913669064749,0.7171717171717171,0.9002929483155472,,,,
churn,45,100,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/metrics.json,101,200,classification,0.8666666666666667,0.6557377049180327,0.5517241379310345,0.8080808080808081,0.8878902014495235,,,,
churn,45,1000,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/metrics.json,1001,1100,classification,0.8047619047619048,0.5653710247349824,0.43478260869565216,0.8080808080808081,0.8773136259011965,,,,
churn,45,200,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/metrics.json,201,300,classification,0.8777777777777778,0.6778242677824268,0.5785714285714286,0.8181818181818182,0.8860545188228803,,,,
churn,45,500,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/metrics.json,501,600,classification,0.8269841269841269,0.6007326007326007,0.47126436781609193,0.8282828282828283,0.8819741672849017,,,,
